iter	Passed	Remaining
0	1	171
1	5	271
2	9	300
3	12	292
4	14	282
5	16	256
6	17	235
7	19	223
8	20	211
9	22	198
10	23	188
11	25	187
12	27	182
13	28	178
14	30	172
15	33	177
16	35	172
17	36	165
18	37	159
19	41	164
20	43	162
21	44	159
22	46	156
23	48	152
24	49	147
25	50	142
26	51	138
27	52	133
28	55	134
29	56	131
30	57	127
31	58	123
32	59	120
33	60	117
34	61	114
35	62	111
36	63	108
37	64	105
38	65	103
39	66	100
40	71	102
41	71	99
42	73	97
43	75	95
44	76	93
45	77	91
46	79	89
47	80	87
48	82	85
49	83	83
50	85	82
51	87	80
52	88	78
53	89	76
54	90	73
55	91	71
56	92	69
57	93	67
58	94	65
59	94	63
60	95	61
61	96	59
62	97	57
63	99	56
64	101	54
65	102	52
66	102	50
67	103	48
68	104	47
69	105	45
70	106	43
71	107	41
72	108	40
73	109	38
74	109	36
75	110	34
76	111	33
77	112	31
78	114	30
79	115	28
80	116	27
81	117	25
82	117	24
83	118	22
84	119	21
85	120	19
86	121	18
87	122	16
88	123	15
89	123	13
90	124	12
91	125	10
92	126	9
93	127	8
94	129	6
95	130	5
96	131	4
97	132	2
98	133	1
99	134	0
